instance, actor, action, patient, certainty
1, Bob, Awkward, Ed, 0.415881
2, Bob, Awkward, Ed, 0.573093
3, Bob, Awkward, Ed, 0.586634
4, Bob, Awkward, Ed, 0.587667
5, Bob, Awkward, Ed, 0.585347
6, Bob, Backpedal, Ed, 0.586268
7, Bob, Backpedal, Ed, 0.590273
8, Bob, Backpedal, Ed, 0.597159
9, Bob, Backpedal, Ed, 0.607715
10, Bob, Backpedal, Ed, 0.620563
11, Bob, Backpedal, Ed, 0.635293
12, Bob, Backpedal, Ed, 0.651525
13, Bob, Backpedal, Ed, 0.669635
14, Bob, Blank, Ed, 0.688860
15, Bob, Blank, Ed, 0.708938
16, Bob, Blank, Ed, 0.729639
17, Bob, Blank, Ed, 0.720032
18, Bob, Blank, Ed, 0.715612
19, Bob, Compromise, Ed, 0.711726
20, Bob, Compromise, Ed, 0.708383
21, Bob, Compromise, Ed, 0.705592
22, Bob, Compromise, Ed, 0.703359
23, Bob, Compromise, Ed, 0.701689
24, Bob, Compromise, Ed, 0.700586
25, Bob, Compromise, Ed, 0.700054
26, Bob, Compromise, Ed, 0.700092
27, Bob, Agitate, Ed, 0.700701
28, Bob, Agitate, Ed, 0.701880
29, Bob, Agitate, Ed, 0.703129
30, Bob, Agitate, Ed, 0.701431
31, Bob, Agitate, Ed, 0.697227
32, Bob, Agitate, Ed, 0.691095
